"","bottle","taxon","simple.N","simple.mean","simple.SD"
"132","e00291","Pleuronectidae 2",3,0,0
"133","e00291","Pleuronectidae 3",3,0,0
"134","e00291","Pleuronichthys coenosus",3,0,0
"135","e00291","Podothecus accipenserinus",3,0,0
"136","e00291","Rhamphocottus richardsonii",3,0,0
"137","e00291","Rhinogobiops nicholsii",3,0,0
"138","e00291","Ronquilus jordani",3,0,0
"139","e00291","Salvelinus",3,0.0405287442324479,0.0701978441775639
"140","e00291","Scorpaenichthys marmoratus",3,0,0
"141","e00291","Sebastes 1",3,0,0
"142","e00291","Sebastes 2",3,0,0
"143","e00291","Sebastes 3",3,0,0
"144","e00291","Sebastes entomelas",3,0,0
"145","e00291","Sebastes nigrocinctus",3,0,0
"146","e00291","Sebastolobus",3,0,0
"147","e00291","Stichaeidae",3,0,0
"148","e00291","Stichaeus punctatus",3,0,0
"149","e00291","Synchirus gilli",3,0,0
"150","e00291","Syngnathus leptorhynchus",3,0,0
"151","e00291","Xiphister",3,0,0
"152","e00291","Zaprora silenus",3,0,0
"153","e00293","Agonopsis vulsa",3,0,0
"154","e00293","Ammodytes personatus",3,0,0
"155","e00293","Anoplarchus",3,0,0
"156","e00293","Anoplopoma fimbria",3,0,0
"157","e00293","Apodichthys flavidus",3,0,0
"158","e00293","Artedius fenestralis",3,0,0
"159","e00293","Artedius harringtoni",3,0,0
"160","e00293","Artedius lateralis",3,0,0
"161","e00293","Aulorhynchus flavidus",3,0,0
"162","e00293","Blepsias bilobus",3,0,0
"163","e00293","Blepsias cirrhosus",3,0,0
"164","e00293","Brachyistius frenatus",3,0,0
"165","e00293","Chitonotus pugetensis",3,0,0
"166","e00293","Citharichthys sordidus",3,0,0
"167","e00293","Citharichthys stigmaeus",3,0,0
"168","e00293","Clinocottus acuticeps",3,0,0
"169","e00293","Clinocottus embryum",3,0,0
"170","e00293","Clupea pallasii",3,0.405045120947831,0.0563483902927998
"171","e00293","Cottidae",3,0,0
"172","e00293","Cottus",3,0,0
"173","e00293","Cryptacanthodes giganteus",3,0,0
"174","e00293","Cymatogaster aggregata",3,0,0
"175","e00293","Embiotoca lateralis",3,0,0
"176","e00293","Enophrys bison",3,0,0
"177","e00293","Gadus",3,0,0
"178","e00293","Gasterosteus aculeatus",3,0,0
"179","e00293","Gobiesox maeandricus",3,0,0
"180","e00293","Hemilepidotus hemilepidotus",3,0,0
"181","e00293","Hexagrammos",3,0,0
"182","e00293","Hexagrammos decagrammus",3,0.0122635429697866,0.0212410795044745
"183","e00293","Hippoglossus stenolepis",3,0,0
"184","e00293","Hypomesus",3,0,0
"185","e00293","Lepidogobius lepidus",3,0,0
"186","e00293","Lepidopsetta",3,0,0
"187","e00293","Leptocottus armatus",3,0,0
"188","e00293","Liparis mucosus",3,0,0
"189","e00293","Lumpenus sagitta",3,0,0
"190","e00293","Microgadus proximus",3,0,0
"191","e00293","Micropterus",3,0,0
"192","e00293","Myoxocephalus",3,0,0
"193","e00293","Nautichthys oculofasciatus",3,0,0
"194","e00293","Oligocottus maculosus",3,0,0
"195","e00293","Oligocottus snyderi",3,0,0
"196","e00293","Oncorhynchus",3,0.00276735281852989,0.00479319568416271
"197","e00293","Oncorhynchus clarkii",3,0,0
"198","e00293","Oncorhynchus gorbuscha",3,0.333480490775715,0.0926516704470737
"199","e00293","Oncorhynchus keta",3,0.122275204458204,0.0702580783451904
"200","e00293","Oncorhynchus kisutch",3,0.113392683891462,0.0169712100471014
"201","e00293","Oncorhynchus nerka",3,0.0107756041384704,0.0152706186825884
"202","e00293","Oncorhynchus tshawytscha",3,0,0
"203","e00293","Ophiodon elongatus",3,0,0
"204","e00293","Oxylebius pictus",3,0,0
"205","e00293","Pholis laeta",3,0,0
"206","e00293","Phytichthys chirus",3,0,0
"207","e00293","Pleuronectidae 1",3,0,0
"208","e00293","Pleuronectidae 2",3,0,0
"209","e00293","Pleuronectidae 3",3,0,0
"210","e00293","Pleuronichthys coenosus",3,0,0
"211","e00293","Podothecus accipenserinus",3,0,0
"212","e00293","Rhamphocottus richardsonii",3,0,0
"213","e00293","Rhinogobiops nicholsii",3,0,0
"214","e00293","Ronquilus jordani",3,0,0
"215","e00293","Salvelinus",3,0,0
"216","e00293","Scorpaenichthys marmoratus",3,0,0
"217","e00293","Sebastes 1",3,0,0
"218","e00293","Sebastes 2",3,0,0
"219","e00293","Sebastes 3",3,0,0
"220","e00293","Sebastes entomelas",3,0,0
"221","e00293","Sebastes nigrocinctus",3,0,0
"222","e00293","Sebastolobus",3,0,0
"223","e00293","Stichaeidae",3,0,0
"224","e00293","Stichaeus punctatus",3,0,0
"225","e00293","Synchirus gilli",3,0,0
"226","e00293","Syngnathus leptorhynchus",3,0,0
"227","e00293","Xiphister",3,0,0
"228","e00293","Zaprora silenus",3,0,0
"229","e00294","Agonopsis vulsa",3,0,0
"230","e00294","Ammodytes personatus",3,0,0
"231","e00294","Anoplarchus",3,0.0844718980162735,0.0734958746372254
"232","e00294","Anoplopoma fimbria",3,0,0
"233","e00294","Apodichthys flavidus",3,0,0
"234","e00294","Artedius fenestralis",3,0,0
"235","e00294","Artedius harringtoni",3,0,0
"236","e00294","Artedius lateralis",3,0.0220064383344768,0.0381162692889452
"237","e00294","Aulorhynchus flavidus",3,0,0
"238","e00294","Blepsias bilobus",3,0,0
"239","e00294","Blepsias cirrhosus",3,0,0
"240","e00294","Brachyistius frenatus",3,0,0
"241","e00294","Chitonotus pugetensis",3,0,0
"242","e00294","Citharichthys sordidus",3,0,0
"243","e00294","Citharichthys stigmaeus",3,0,0
"244","e00294","Clinocottus acuticeps",3,0,0
"245","e00294","Clinocottus embryum",3,0,0
"246","e00294","Clupea pallasii",3,0.642799107000625,0.117856139371449
"247","e00294","Cottidae",3,0,0
"248","e00294","Cottus",3,0,0
"249","e00294","Cryptacanthodes giganteus",3,0,0
"250","e00294","Cymatogaster aggregata",3,0,0
"251","e00294","Embiotoca lateralis",3,0,0
"252","e00294","Enophrys bison",3,0,0
"253","e00294","Gadus",3,0,0
"254","e00294","Gasterosteus aculeatus",3,0,0
"255","e00294","Gobiesox maeandricus",3,0,0
"256","e00294","Hemilepidotus hemilepidotus",3,0,0
"257","e00294","Hexagrammos",3,0.0177400427969904,0.0307266554528337
"258","e00294","Hexagrammos decagrammus",3,0,0
"259","e00294","Hippoglossus stenolepis",3,0,0
"260","e00294","Hypomesus",3,0,0
"261","e00294","Lepidogobius lepidus",3,0,0
"262","e00294","Lepidopsetta",3,0,0
"263","e00294","Leptocottus armatus",3,0,0
"264","e00294","Liparis mucosus",3,0,0
"265","e00294","Lumpenus sagitta",3,0,0
"266","e00294","Microgadus proximus",3,0,0
"267","e00294","Micropterus",3,0,0
"268","e00294","Myoxocephalus",3,0.000176064087327787,0.000304951944639971
"269","e00294","Nautichthys oculofasciatus",3,0,0
"270","e00294","Oligocottus maculosus",3,0.0111527433285837,0.0193171180888819
"271","e00294","Oligocottus snyderi",3,0,0
"272","e00294","Oncorhynchus",3,0,0
"273","e00294","Oncorhynchus clarkii",3,0,0
"274","e00294","Oncorhynchus gorbuscha",3,0.0694895234411521,0.0302997838130328
"275","e00294","Oncorhynchus keta",3,0.023538344722855,0.0407696089860556
"276","e00294","Oncorhynchus kisutch",3,0.0656268276645044,0.0644442198110621
"277","e00294","Oncorhynchus nerka",3,0,0
"278","e00294","Oncorhynchus tshawytscha",3,0,0
"279","e00294","Ophiodon elongatus",3,0,0
"280","e00294","Oxylebius pictus",3,0,0
"281","e00294","Pholis laeta",3,0.032396861554037,0.0561130102173668
"282","e00294","Phytichthys chirus",3,0,0
"283","e00294","Pleuronectidae 1",3,0,0
"284","e00294","Pleuronectidae 2",3,0,0
"285","e00294","Pleuronectidae 3",3,0,0
"286","e00294","Pleuronichthys coenosus",3,0,0
"287","e00294","Podothecus accipenserinus",3,0,0
"288","e00294","Rhamphocottus richardsonii",3,0,0
"289","e00294","Rhinogobiops nicholsii",3,0,0
"290","e00294","Ronquilus jordani",3,0,0
"291","e00294","Salvelinus",3,0,0
"292","e00294","Scorpaenichthys marmoratus",3,0,0
"293","e00294","Sebastes 1",3,0,0
"294","e00294","Sebastes 2",3,0,0
"295","e00294","Sebastes 3",3,0.0306021490531741,0.0530044769808934
"296","e00294","Sebastes entomelas",3,0,0
"297","e00294","Sebastes nigrocinctus",3,0,0
"298","e00294","Sebastolobus",3,0,0
"299","e00294","Stichaeidae",3,0,0
"300","e00294","Stichaeus punctatus",3,0,0
"301","e00294","Synchirus gilli",3,0,0
"302","e00294","Syngnathus leptorhynchus",3,0,0
"303","e00294","Xiphister",3,0,0
"304","e00294","Zaprora silenus",3,0,0
"305","e00295","Agonopsis vulsa",3,0,0
"306","e00295","Ammodytes personatus",3,0,0
"307","e00295","Anoplarchus",3,1.13672532169327e-05,1.96886601142281e-05
"308","e00295","Anoplopoma fimbria",3,0,0
"309","e00295","Apodichthys flavidus",3,0,0
"310","e00295","Artedius fenestralis",3,7.44587777591631e-05,0.00012896638614835
"311","e00295","Artedius harringtoni",3,0,0
"312","e00295","Artedius lateralis",3,7.44587777591631e-05,0.00012896638614835
"313","e00295","Aulorhynchus flavidus",3,0,0
"314","e00295","Blepsias bilobus",3,0,0
"315","e00295","Blepsias cirrhosus",3,0,0
"316","e00295","Brachyistius frenatus",3,0,0
"317","e00295","Chitonotus pugetensis",3,0,0
"318","e00295","Citharichthys sordidus",3,0,0
"319","e00295","Citharichthys stigmaeus",3,0.990519161102424,0.000712737488163441
"320","e00295","Clinocottus acuticeps",3,0.000101313096187103,8.9109215515204e-05
"321","e00295","Clinocottus embryum",3,0,0
"322","e00295","Clupea pallasii",3,0.00665398000388969,0.000660855759282548
"323","e00295","Cottidae",3,0,0
"324","e00295","Cottus",3,0,0
"325","e00295","Cryptacanthodes giganteus",3,0,0
"326","e00295","Cymatogaster aggregata",3,0,0
"327","e00295","Embiotoca lateralis",3,0,0
"328","e00295","Enophrys bison",3,0.000269837528910511,0.000253341615089599
"329","e00295","Gadus",3,0.00018813130992849,0.000173219251341107
"330","e00295","Gasterosteus aculeatus",3,0,0
"331","e00295","Gobiesox maeandricus",3,0,0
"332","e00295","Hemilepidotus hemilepidotus",3,0,0
"333","e00295","Hexagrammos",3,0,0
"334","e00295","Hexagrammos decagrammus",3,0,0
"335","e00295","Hippoglossus stenolepis",3,0,0
"336","e00295","Hypomesus",3,0,0
"337","e00295","Lepidogobius lepidus",3,0,0
"338","e00295","Lepidopsetta",3,0,0
"339","e00295","Leptocottus armatus",3,0,0
"340","e00295","Liparis mucosus",3,0,0
"341","e00295","Lumpenus sagitta",3,0,0
"342","e00295","Microgadus proximus",3,0,0
"343","e00295","Micropterus",3,0,0
"344","e00295","Myoxocephalus",3,0,0
"345","e00295","Nautichthys oculofasciatus",3,0,0
"346","e00295","Oligocottus maculosus",3,0.000147774291820125,0.000255952581484966
"347","e00295","Oligocottus snyderi",3,0,0
"348","e00295","Oncorhynchus",3,1.13672532169327e-05,1.96886601142281e-05
"349","e00295","Oncorhynchus clarkii",3,0,0
"350","e00295","Oncorhynchus gorbuscha",3,0.000628952709239499,0.000641155134646886
"351","e00295","Oncorhynchus keta",3,0.00017050879825399,0.000295329901713422
"352","e00295","Oncorhynchus kisutch",3,0.000198736456751113,0.000297173911404626
"353","e00295","Oncorhynchus nerka",3,0,0
"354","e00295","Oncorhynchus tshawytscha",3,1.86146944397908e-05,3.22415965370875e-05
"355","e00295","Ophiodon elongatus",3,0,0
"356","e00295","Oxylebius pictus",3,0,0
"357","e00295","Pholis laeta",3,0.0009313379462031,0.000936678067393041
"358","e00295","Phytichthys chirus",3,0,0
"359","e00295","Pleuronectidae 1",3,0,0
"360","e00295","Pleuronectidae 2",3,0,0
"361","e00295","Pleuronectidae 3",3,0,0
"362","e00295","Pleuronichthys coenosus",3,0,0
"363","e00295","Podothecus accipenserinus",3,0,0
"364","e00295","Rhamphocottus richardsonii",3,0,0
"365","e00295","Rhinogobiops nicholsii",3,0,0
"366","e00295","Ronquilus jordani",3,0,0
"367","e00295","Salvelinus",3,0,0
"368","e00295","Scorpaenichthys marmoratus",3,0,0
"369","e00295","Sebastes 1",3,0,0
"370","e00295","Sebastes 2",3,0,0
"371","e00295","Sebastes 3",3,0,0
"372","e00295","Sebastes entomelas",3,0,0
"373","e00295","Sebastes nigrocinctus",3,0,0
"374","e00295","Sebastolobus",3,0,0
"375","e00295","Stichaeidae",3,0,0
"376","e00295","Stichaeus punctatus",3,0,0
"377","e00295","Synchirus gilli",3,0,0
"378","e00295","Syngnathus leptorhynchus",3,0,0
"379","e00295","Xiphister",3,0,0
"380","e00295","Zaprora silenus",3,0,0
"381","e00297","Agonopsis vulsa",3,0,0
"382","e00297","Ammodytes personatus",3,0.234418970040973,0.0499226076147621
"383","e00297","Anoplarchus",3,0.0703960667288201,0.0525234004509097
"384","e00297","Anoplopoma fimbria",3,0,0
"385","e00297","Apodichthys flavidus",3,0.0021226839359597,0.00367659642549249
"386","e00297","Artedius fenestralis",3,0.00516279906457996,0.00894223028912156
"387","e00297","Artedius harringtoni",3,0,0
"388","e00297","Artedius lateralis",3,0,0
"389","e00297","Aulorhynchus flavidus",3,0,0
"390","e00297","Blepsias bilobus",3,0,0
"391","e00297","Blepsias cirrhosus",3,0,0
"392","e00297","Brachyistius frenatus",3,0,0
"393","e00297","Chitonotus pugetensis",3,0.0170701801285031,0.0149287601184549
"394","e00297","Citharichthys sordidus",3,0,0
"395","e00297","Citharichthys stigmaeus",3,0.00210469508904479,0.00364543882866628
"396","e00297","Clinocottus acuticeps",3,0.0277856480110305,0.0250937372001088
"397","e00297","Clinocottus embryum",3,0,0
"398","e00297","Clupea pallasii",3,0.354365162344447,0.102705931876326
"399","e00297","Cottidae",3,0.000125921928404389,0.000218103177783453
"400","e00297","Cottus",3,0,0
"401","e00297","Cryptacanthodes giganteus",3,0,0
"402","e00297","Cymatogaster aggregata",3,7.0016979117436e-05,0.000121272965223888
"403","e00297","Embiotoca lateralis",3,0,0
"404","e00297","Enophrys bison",3,0.00196078431372549,0.00339617805405662
"405","e00297","Gadus",3,0.0574145351839617,0.0277974273279179
"406","e00297","Gasterosteus aculeatus",3,0,0
"407","e00297","Gobiesox maeandricus",3,0,0
"408","e00297","Hemilepidotus hemilepidotus",3,0,0
"409","e00297","Hexagrammos",3,0.00100737542723511,0.00174482542226762
"410","e00297","Hexagrammos decagrammus",3,0,0
"411","e00297","Hippoglossus stenolepis",3,0,0
"412","e00297","Hypomesus",3,0,0
"413","e00297","Lepidogobius lepidus",3,0,0
"414","e00297","Lepidopsetta",3,0,0
"415","e00297","Leptocottus armatus",3,0.00286022665947113,0.004954057895367
"416","e00297","Liparis mucosus",3,0,0
"417","e00297","Lumpenus sagitta",3,0,0
"418","e00297","Microgadus proximus",3,0,0
"419","e00297","Micropterus",3,0,0
"420","e00297","Myoxocephalus",3,0.00505486598309048,0.00875528470816432
"421","e00297","Nautichthys oculofasciatus",3,0,0
"422","e00297","Oligocottus maculosus",3,0.0245974474768037,0.0228916940897079
"423","e00297","Oligocottus snyderi",3,0,0
"424","e00297","Oncorhynchus",3,0.000825985752689784,0.00108195530368044
"425","e00297","Oncorhynchus clarkii",3,1.79888469149128e-05,3.11575968262075e-05
"426","e00297","Oncorhynchus gorbuscha",3,0.05050765474416,0.0468337507315641
"427","e00297","Oncorhynchus keta",3,0.012465599724639,0.0189894668439004
"428","e00297","Oncorhynchus kisutch",3,0.013586760790571,0.0133700347213696
"429","e00297","Oncorhynchus nerka",3,0,0
"430","e00297","Oncorhynchus tshawytscha",3,0,0
"431","e00297","Ophiodon elongatus",3,0,0
"432","e00297","Oxylebius pictus",3,0,0
"433","e00297","Pholis laeta",3,0.0439086630387714,0.0311607215251967
"434","e00297","Phytichthys chirus",3,0,0
"435","e00297","Pleuronectidae 1",3,0,0
"436","e00297","Pleuronectidae 2",3,0.00624212987947473,0.010811686098694
"437","e00297","Pleuronectidae 3",3,0.0114822435837431,0.0142892808758238
"438","e00297","Pleuronichthys coenosus",3,0,0
"439","e00297","Podothecus accipenserinus",3,0,0
"440","e00297","Rhamphocottus richardsonii",3,0,0
"441","e00297","Rhinogobiops nicholsii",3,0,0
"442","e00297","Ronquilus jordani",3,0,0
"443","e00297","Salvelinus",3,0,0
"444","e00297","Scorpaenichthys marmoratus",3,0,0
"445","e00297","Sebastes 1",3,0,0
"446","e00297","Sebastes 2",3,0,0
"447","e00297","Sebastes 3",3,0,0
"448","e00297","Sebastes entomelas",3,0,0
"449","e00297","Sebastes nigrocinctus",3,0,0
"450","e00297","Sebastolobus",3,0,0
"451","e00297","Stichaeidae",3,0,0
"452","e00297","Stichaeus punctatus",3,0,0
"453","e00297","Synchirus gilli",3,0,0
"454","e00297","Syngnathus leptorhynchus",3,0.00269832703723691,0.00467363952393113
"455","e00297","Xiphister",3,0.051747267306631,0.0688410473542432
"456","e00297","Zaprora silenus",3,0,0
"457","e00298","Agonopsis vulsa",3,0,0
"458","e00298","Ammodytes personatus",3,0.20134778714752,0.0332982340110172
"459","e00298","Anoplarchus",3,0.0326253215688047,0.0295844326987673
"460","e00298","Anoplopoma fimbria",3,0,0
"461","e00298","Apodichthys flavidus",3,0.00672332076347386,0.00807339206749572
"462","e00298","Artedius fenestralis",3,0.0135455740437947,0.0234616224615386
"463","e00298","Artedius harringtoni",3,0,0
"464","e00298","Artedius lateralis",3,0,0
"465","e00298","Aulorhynchus flavidus",3,0,0
"466","e00298","Blepsias bilobus",3,0,0
"467","e00298","Blepsias cirrhosus",3,0,0
"468","e00298","Brachyistius frenatus",3,0.00181456230290858,0.00314291410213686
"469","e00298","Chitonotus pugetensis",3,0.0127122064340064,0.00560132892799724
"470","e00298","Citharichthys sordidus",3,0,0
"471","e00298","Citharichthys stigmaeus",3,0.00767163281925448,0.00819363511595322
"472","e00298","Clinocottus acuticeps",3,0.0227688012435522,0.0194253831338453
"473","e00298","Clinocottus embryum",3,0,0
"474","e00298","Clupea pallasii",3,0.310570358447415,0.0273526079375354
"475","e00298","Cottidae",3,0,0
"476","e00298","Cottus",3,0,0
"477","e00298","Cryptacanthodes giganteus",3,0,0
"478","e00298","Cymatogaster aggregata",3,0,0
"479","e00298","Embiotoca lateralis",3,0,0
"480","e00298","Enophrys bison",3,0,0
"481","e00298","Gadus",3,0.0492618028590317,0.0542110295198181
"482","e00298","Gasterosteus aculeatus",3,0,0
"483","e00298","Gobiesox maeandricus",3,0,0
"484","e00298","Hemilepidotus hemilepidotus",3,0,0
"485","e00298","Hexagrammos",3,0.0162626281588605,0.0142296416593074
"486","e00298","Hexagrammos decagrammus",3,0.0020259676197523,0.00350907885190037
"487","e00298","Hippoglossus stenolepis",3,0,0
"488","e00298","Hypomesus",3,0,0
"489","e00298","Lepidogobius lepidus",3,0,0
"490","e00298","Lepidopsetta",3,0.00558462378662157,0.00967285213958625
"491","e00298","Leptocottus armatus",3,0.0142344485323256,0.0127027383190496
"492","e00298","Liparis mucosus",3,0,0
"493","e00298","Lumpenus sagitta",3,0,0
"494","e00298","Microgadus proximus",3,0,0
"495","e00298","Micropterus",3,0,0
"496","e00298","Myoxocephalus",3,0.0176924003998703,0.00648426918682061
"497","e00298","Nautichthys oculofasciatus",3,0,0
"498","e00298","Oligocottus maculosus",3,0.0297195685020996,0.0264639617842338
"499","e00298","Oligocottus snyderi",3,0,0
"500","e00298","Oncorhynchus",3,0,0
"501","e00298","Oncorhynchus clarkii",3,0,0
"502","e00298","Oncorhynchus gorbuscha",3,0.14714308673099,0.0756905451121023
"503","e00298","Oncorhynchus keta",3,0.0107915107816364,0.0142396286506586
"504","e00298","Oncorhynchus kisutch",3,0.00155030565685394,0.00268520816493246
"505","e00298","Oncorhynchus nerka",3,0,0
"506","e00298","Oncorhynchus tshawytscha",3,0.00748768931807943,0.00872713448188112
"507","e00298","Ophiodon elongatus",3,0,0
"508","e00298","Oxylebius pictus",3,0,0
"509","e00298","Pholis laeta",3,0.054126136180548,0.0480291601847833
"510","e00298","Phytichthys chirus",3,0,0
"511","e00298","Pleuronectidae 1",3,0,0
"512","e00298","Pleuronectidae 2",3,0.00863059867685017,0.0105154059533553
"513","e00298","Pleuronectidae 3",3,0.00281873755791625,0.00488219666351356
"514","e00298","Pleuronichthys coenosus",3,0,0
"515","e00298","Podothecus accipenserinus",3,0,0
"516","e00298","Rhamphocottus richardsonii",3,0,0
"517","e00298","Rhinogobiops nicholsii",3,0,0
"518","e00298","Ronquilus jordani",3,0,0
"519","e00298","Salvelinus",3,0.00602505153004598,0.0104356953682602
"520","e00298","Scorpaenichthys marmoratus",3,0,0
"521","e00298","Sebastes 1",3,0.00793488857149335,0.0137436301582241
"522","e00298","Sebastes 2",3,0,0
"523","e00298","Sebastes 3",3,0,0
"524","e00298","Sebastes entomelas",3,0,0
"525","e00298","Sebastes nigrocinctus",3,0,0
"526","e00298","Sebastolobus",3,0,0
"527","e00298","Stichaeidae",3,0,0
"528","e00298","Stichaeus punctatus",3,0,0
"529","e00298","Synchirus gilli",3,0,0
"530","e00298","Syngnathus leptorhynchus",3,0.00457956426126187,0.0079320379770322
