"","sample.PCR","sample","rep","count","taxon","taxonomic_level","SampleCode","Sample_label","Sample_rep","Sample_date","Extraction_date"
"72","e00010-B","e00010","B",1044,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"73","e00010-B","e00010","B",91,"Hexagrammos","genus",NA,NA,NA,NA,NA
"74","e00010-B","e00010","B",12,"Cottidae","family",NA,NA,NA,NA,NA
"75","e00010-B","e00010","B",424,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"76","e00010-B","e00010","B",17,"Pleuronectidae","family",NA,NA,NA,NA,NA
"77","e00010-B","e00010","B",242,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"78","e00010-B","e00010","B",93,"Bathymaster","genus",NA,NA,NA,NA,NA
"79","e00010-B","e00010","B",35,"Stichaeidae","family",NA,NA,NA,NA,NA
"80","e00010-C","e00010","C",114,"Clupeidae","family",NA,NA,NA,NA,NA
"81","e00010-C","e00010","C",1,"Pholis","genus",NA,NA,NA,NA,NA
"82","e00010-C","e00010","C",4094,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"83","e00010-C","e00010","C",3152,"Sebastidae","family",NA,NA,NA,NA,NA
"84","e00010-C","e00010","C",1262,"Gadidae","family",NA,NA,NA,NA,NA
"85","e00010-C","e00010","C",1298,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"86","e00010-C","e00010","C",75,"Hexagrammos","genus",NA,NA,NA,NA,NA
"87","e00010-C","e00010","C",475,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"88","e00010-C","e00010","C",190,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"89","e00010-C","e00010","C",153,"Bathymaster","genus",NA,NA,NA,NA,NA
"90","e00010-C","e00010","C",1,"Stichaeidae","family",NA,NA,NA,NA,NA
"91","e00010-C","e00010","C",22,"Liparis","genus",NA,NA,NA,NA,NA
"92","e00011-A","e00011","A",36,"Clupeidae","family",NA,NA,NA,NA,NA
"93","e00011-A","e00011","A",990,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"94","e00011-A","e00011","A",765,"Sebastidae","family",NA,NA,NA,NA,NA
"95","e00011-A","e00011","A",333,"Gadidae","family",NA,NA,NA,NA,NA
"96","e00011-A","e00011","A",308,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"97","e00011-A","e00011","A",9,"Hexagrammos","genus",NA,NA,NA,NA,NA
"98","e00011-A","e00011","A",72,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"99","e00011-A","e00011","A",51,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"100","e00011-A","e00011","A",18,"Bathymaster","genus",NA,NA,NA,NA,NA
"101","e00011-A","e00011","A",3,"Icelinus_borealis","species",NA,NA,NA,NA,NA
"102","e00011-B","e00011","B",3255,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"103","e00011-B","e00011","B",2328,"Sebastidae","family",NA,NA,NA,NA,NA
"104","e00011-B","e00011","B",1091,"Gadidae","family",NA,NA,NA,NA,NA
"105","e00011-B","e00011","B",999,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"106","e00011-B","e00011","B",19,"Hexagrammos","genus",NA,NA,NA,NA,NA
"107","e00011-B","e00011","B",315,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"108","e00011-B","e00011","B",99,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"109","e00011-B","e00011","B",42,"Bathymaster","genus",NA,NA,NA,NA,NA
"110","e00011-B","e00011","B",6,"Stichaeidae","family",NA,NA,NA,NA,NA
"111","e00011-B","e00011","B",8,"Liparis","genus",NA,NA,NA,NA,NA
"112","e00011-C","e00011","C",27,"Clupeidae","family",NA,NA,NA,NA,NA
"113","e00011-C","e00011","C",1871,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"114","e00011-C","e00011","C",1303,"Sebastidae","family",NA,NA,NA,NA,NA
"115","e00011-C","e00011","C",957,"Gadidae","family",NA,NA,NA,NA,NA
"116","e00011-C","e00011","C",601,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"117","e00011-C","e00011","C",61,"Hexagrammos","genus",NA,NA,NA,NA,NA
"118","e00011-C","e00011","C",182,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"119","e00011-C","e00011","C",51,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"120","e00011-C","e00011","C",12,"Bathymaster","genus",NA,NA,NA,NA,NA
"121","e00011-C","e00011","C",3,"Liparis","genus",NA,NA,NA,NA,NA
"122","e00012-A","e00012","A",48,"Clupeidae","family",NA,NA,NA,NA,NA
"123","e00012-A","e00012","A",19,"Cymatogaster_aggregata","species",NA,NA,NA,NA,NA
"124","e00012-A","e00012","A",10,"Gasterosteus","genus",NA,NA,NA,NA,NA
"125","e00012-A","e00012","A",1273,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"126","e00012-A","e00012","A",1224,"Sebastidae","family",NA,NA,NA,NA,NA
"127","e00012-A","e00012","A",465,"Gadidae","family",NA,NA,NA,NA,NA
"128","e00012-A","e00012","A",484,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"129","e00012-A","e00012","A",2,"Clinocottus_acuticeps","species",NA,NA,NA,NA,NA
"130","e00012-A","e00012","A",20,"Hexagrammos","genus",NA,NA,NA,NA,NA
"131","e00012-A","e00012","A",429,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"132","e00012-A","e00012","A",37,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"133","e00012-A","e00012","A",60,"Bathymaster","genus",NA,NA,NA,NA,NA
"134","e00012-A","e00012","A",5,"Stichaeidae","family",NA,NA,NA,NA,NA
"135","e00012-A","e00012","A",36,"Actinopteri","class",NA,NA,NA,NA,NA
"136","e00012-A","e00012","A",1,"Pleuronichthys","genus",NA,NA,NA,NA,NA
"137","e00012-B","e00012","B",137,"Clupeidae","family",NA,NA,NA,NA,NA
"138","e00012-B","e00012","B",31,"Cymatogaster_aggregata","species",NA,NA,NA,NA,NA
"139","e00012-B","e00012","B",35,"Gasterosteus","genus",NA,NA,NA,NA,NA
"140","e00012-B","e00012","B",3303,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"141","e00012-B","e00012","B",2736,"Sebastidae","family",NA,NA,NA,NA,NA
"142","e00012-B","e00012","B",3,"Stichaeidae","family",NA,NA,NA,NA,NA
"143","e00012-B","e00012","B",898,"Gadidae","family",NA,NA,NA,NA,NA
"144","e00012-B","e00012","B",1205,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"145","e00012-B","e00012","B",45,"Hexagrammos","genus",NA,NA,NA,NA,NA
"146","e00012-B","e00012","B",914,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"147","e00012-B","e00012","B",56,"Pleuronectidae","family",NA,NA,NA,NA,NA
"148","e00012-B","e00012","B",82,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"149","e00012-B","e00012","B",36,"Bathymaster","genus",NA,NA,NA,NA,NA
"150","e00012-B","e00012","B",23,"Liparis","genus",NA,NA,NA,NA,NA
"151","e00012-C","e00012","C",280,"Clupeidae","family",NA,NA,NA,NA,NA
"152","e00012-C","e00012","C",19,"Cymatogaster_aggregata","species",NA,NA,NA,NA,NA
"153","e00012-C","e00012","C",4,"Pholis","genus",NA,NA,NA,NA,NA
"154","e00012-C","e00012","C",38,"Gasterosteus","genus",NA,NA,NA,NA,NA
"155","e00012-C","e00012","C",3358,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"156","e00012-C","e00012","C",2796,"Sebastidae","family",NA,NA,NA,NA,NA
"157","e00012-C","e00012","C",1202,"Gadidae","family",NA,NA,NA,NA,NA
"158","e00012-C","e00012","C",1253,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"159","e00012-C","e00012","C",3,"Cottidae","family",NA,NA,NA,NA,NA
"160","e00012-C","e00012","C",108,"Hexagrammos","genus",NA,NA,NA,NA,NA
"161","e00012-C","e00012","C",924,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"162","e00012-C","e00012","C",144,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"163","e00012-C","e00012","C",116,"Bathymaster","genus",NA,NA,NA,NA,NA
"164","e00012-C","e00012","C",9,"Clinocottus_acuticeps","species",NA,NA,NA,NA,NA
"165","e00012-C","e00012","C",1,"Stichaeidae","family",NA,NA,NA,NA,NA
"166","e00012-C","e00012","C",37,"Actinopteri","class",NA,NA,NA,NA,NA
"167","e00012-C","e00012","C",26,"Icelinus_borealis","species",NA,NA,NA,NA,NA
"168","e00013-A","e00013","A",66,"Clupeidae","family",NA,NA,NA,NA,NA
"169","e00013-A","e00013","A",1668,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"170","e00013-A","e00013","A",1417,"Sebastidae","family",NA,NA,NA,NA,NA
"171","e00013-A","e00013","A",526,"Gadidae","family",NA,NA,NA,NA,NA
"172","e00013-A","e00013","A",491,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"173","e00013-A","e00013","A",28,"Hexagrammos","genus",NA,NA,NA,NA,NA
"174","e00013-A","e00013","A",94,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"175","e00013-A","e00013","A",33,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"176","e00013-A","e00013","A",42,"Bathymaster","genus",NA,NA,NA,NA,NA
"177","e00013-A","e00013","A",19,"Stichaeidae","family",NA,NA,NA,NA,NA
"178","e00013-A","e00013","A",25,"Icelinus_borealis","species",NA,NA,NA,NA,NA
"179","e00013-B","e00013","B",207,"Clupeidae","family",NA,NA,NA,NA,NA
"180","e00013-B","e00013","B",4073,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"181","e00013-B","e00013","B",3553,"Sebastidae","family",NA,NA,NA,NA,NA
"182","e00013-B","e00013","B",1107,"Gadidae","family",NA,NA,NA,NA,NA
"183","e00013-B","e00013","B",1274,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"184","e00013-B","e00013","B",44,"Hexagrammos","genus",NA,NA,NA,NA,NA
"185","e00013-B","e00013","B",315,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"186","e00013-B","e00013","B",123,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"187","e00013-B","e00013","B",79,"Bathymaster","genus",NA,NA,NA,NA,NA
"188","e00013-B","e00013","B",20,"Liparis","genus",NA,NA,NA,NA,NA
"189","e00013-C","e00013","C",333,"Clupeidae","family",NA,NA,NA,NA,NA
"190","e00013-C","e00013","C",4395,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"191","e00013-C","e00013","C",3280,"Sebastidae","family",NA,NA,NA,NA,NA
"192","e00013-C","e00013","C",870,"Gadidae","family",NA,NA,NA,NA,NA
"193","e00013-C","e00013","C",1407,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"194","e00013-C","e00013","C",67,"Hexagrammos","genus",NA,NA,NA,NA,NA
"195","e00013-C","e00013","C",142,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"196","e00013-C","e00013","C",117,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"197","e00013-C","e00013","C",3,"Polypera_greeni","species",NA,NA,NA,NA,NA
"198","e00013-C","e00013","C",116,"Bathymaster","genus",NA,NA,NA,NA,NA
"199","e00013-C","e00013","C",56,"Pleuronectidae","family",NA,NA,NA,NA,NA
"200","e00013-C","e00013","C",27,"Stichaeidae","family",NA,NA,NA,NA,NA
"201","e00013-C","e00013","C",28,"Liparis","genus",NA,NA,NA,NA,NA
"202","e00014-A","e00014","A",110,"Clupeidae","family",NA,NA,NA,NA,NA
"203","e00014-A","e00014","A",1643,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"204","e00014-A","e00014","A",1373,"Sebastidae","family",NA,NA,NA,NA,NA
"205","e00014-A","e00014","A",564,"Gadidae","family",NA,NA,NA,NA,NA
"206","e00014-A","e00014","A",385,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"207","e00014-A","e00014","A",43,"Hexagrammos","genus",NA,NA,NA,NA,NA
"208","e00014-A","e00014","A",73,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"209","e00014-A","e00014","A",133,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"210","e00014-A","e00014","A",10,"Bathymaster","genus",NA,NA,NA,NA,NA
"211","e00014-B","e00014","B",85,"Clupeidae","family",NA,NA,NA,NA,NA
"212","e00014-B","e00014","B",3756,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"213","e00014-B","e00014","B",3407,"Sebastidae","family",NA,NA,NA,NA,NA
"214","e00014-B","e00014","B",1086,"Gadidae","family",NA,NA,NA,NA,NA
"215","e00014-B","e00014","B",1044,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"216","e00014-B","e00014","B",90,"Hexagrammos","genus",NA,NA,NA,NA,NA
"217","e00014-B","e00014","B",280,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"218","e00014-B","e00014","B",229,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"219","e00014-B","e00014","B",116,"Bathymaster","genus",NA,NA,NA,NA,NA
"220","e00014-B","e00014","B",34,"Stichaeidae","family",NA,NA,NA,NA,NA
"221","e00014-B","e00014","B",26,"Icelinus_borealis","species",NA,NA,NA,NA,NA
"222","e00014-C","e00014","C",41,"Clupeidae","family",NA,NA,NA,NA,NA
"223","e00014-C","e00014","C",4026,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"224","e00014-C","e00014","C",3371,"Sebastidae","family",NA,NA,NA,NA,NA
"225","e00014-C","e00014","C",1343,"Gadidae","family",NA,NA,NA,NA,NA
"226","e00014-C","e00014","C",1121,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"227","e00014-C","e00014","C",25,"Hexagrammos","genus",NA,NA,NA,NA,NA
"228","e00014-C","e00014","C",42,"Cottidae","family",NA,NA,NA,NA,NA
"229","e00014-C","e00014","C",267,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"230","e00014-C","e00014","C",227,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"231","e00014-C","e00014","C",66,"Bathymaster","genus",NA,NA,NA,NA,NA
"232","e00014-C","e00014","C",8,"Pleuronectidae","family",NA,NA,NA,NA,NA
"233","e00014-C","e00014","C",33,"Stichaeidae","family",NA,NA,NA,NA,NA
"234","e00014-C","e00014","C",17,"Icelinus_borealis","species",NA,NA,NA,NA,NA
"235","e00015-A","e00015","A",27,"Clupeidae","family",NA,NA,NA,NA,NA
"236","e00015-A","e00015","A",1333,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"237","e00015-A","e00015","A",1188,"Sebastidae","family",NA,NA,NA,NA,NA
"238","e00015-A","e00015","A",370,"Gadidae","family",NA,NA,NA,NA,NA
"239","e00015-A","e00015","A",405,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"240","e00015-A","e00015","A",11,"Hexagrammos","genus",NA,NA,NA,NA,NA
"241","e00015-A","e00015","A",17,"Cottidae","family",NA,NA,NA,NA,NA
"242","e00015-A","e00015","A",106,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"243","e00015-A","e00015","A",24,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"244","e00015-A","e00015","A",11,"Bathymaster","genus",NA,NA,NA,NA,NA
"245","e00015-A","e00015","A",15,"Liparis","genus",NA,NA,NA,NA,NA
"246","e00015-A","e00015","A",8,"Actinopteri","class",NA,NA,NA,NA,NA
"247","e00015-B","e00015","B",3058,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"248","e00015-B","e00015","B",2636,"Sebastidae","family",NA,NA,NA,NA,NA
"249","e00015-B","e00015","B",793,"Gadidae","family",NA,NA,NA,NA,NA
"250","e00015-B","e00015","B",1187,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"251","e00015-B","e00015","B",71,"Hexagrammos","genus",NA,NA,NA,NA,NA
"252","e00015-B","e00015","B",233,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"253","e00015-B","e00015","B",38,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"254","e00015-B","e00015","B",66,"Bathymaster","genus",NA,NA,NA,NA,NA
"255","e00015-B","e00015","B",1,"Stichaeidae","family",NA,NA,NA,NA,NA
"256","e00015-C","e00015","C",122,"Clupeidae","family",NA,NA,NA,NA,NA
"257","e00015-C","e00015","C",3463,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"258","e00015-C","e00015","C",3320,"Sebastidae","family",NA,NA,NA,NA,NA
"259","e00015-C","e00015","C",1225,"Gadidae","family",NA,NA,NA,NA,NA
"260","e00015-C","e00015","C",1173,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"261","e00015-C","e00015","C",68,"Hexagrammos","genus",NA,NA,NA,NA,NA
"262","e00015-C","e00015","C",168,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"263","e00015-C","e00015","C",96,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"264","e00015-C","e00015","C",34,"Bathymaster","genus",NA,NA,NA,NA,NA
"265","e00015-C","e00015","C",20,"Stichaeidae","family",NA,NA,NA,NA,NA
"266","e00015-C","e00015","C",9,"Liparis","genus",NA,NA,NA,NA,NA
"267","e00016-A","e00016","A",15,"Clupeidae","family",NA,NA,NA,NA,NA
"268","e00016-A","e00016","A",1077,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"269","e00016-A","e00016","A",866,"Sebastidae","family",NA,NA,NA,NA,NA
"270","e00016-A","e00016","A",384,"Gadidae","family",NA,NA,NA,NA,NA
"271","e00016-A","e00016","A",258,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"272","e00016-A","e00016","A",13,"Hexagrammos","genus",NA,NA,NA,NA,NA
"273","e00016-A","e00016","A",56,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"274","e00016-A","e00016","A",28,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"275","e00016-A","e00016","A",11,"Bathymaster","genus",NA,NA,NA,NA,NA
"276","e00016-A","e00016","A",2,"Homo_sapiens","species",NA,NA,NA,NA,NA
"277","e00016-A","e00016","A",3,"Liparis","genus",NA,NA,NA,NA,NA
"278","e00016-B","e00016","B",19,"Clupeidae","family",NA,NA,NA,NA,NA
"279","e00016-B","e00016","B",2688,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"280","e00016-B","e00016","B",2264,"Sebastidae","family",NA,NA,NA,NA,NA
"281","e00016-B","e00016","B",927,"Gadidae","family",NA,NA,NA,NA,NA
"282","e00016-B","e00016","B",750,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"283","e00016-B","e00016","B",8,"Hexagrammos","genus",NA,NA,NA,NA,NA
"284","e00016-B","e00016","B",114,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"285","e00016-B","e00016","B",157,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"286","e00016-B","e00016","B",10,"Stichaeidae","family",NA,NA,NA,NA,NA
"287","e00016-C","e00016","C",33,"Clupeidae","family",NA,NA,NA,NA,NA
"288","e00016-C","e00016","C",2824,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"289","e00016-C","e00016","C",2251,"Sebastidae","family",NA,NA,NA,NA,NA
"290","e00016-C","e00016","C",1080,"Gadidae","family",NA,NA,NA,NA,NA
"291","e00016-C","e00016","C",758,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"292","e00016-C","e00016","C",17,"Hexagrammos","genus",NA,NA,NA,NA,NA
"293","e00016-C","e00016","C",158,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"294","e00016-C","e00016","C",122,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"295","e00016-C","e00016","C",29,"Bathymaster","genus",NA,NA,NA,NA,NA
"296","e00016-C","e00016","C",52,"Stichaeidae","family",NA,NA,NA,NA,NA
"297","e00017-B","e00017","B",2480,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"298","e00017-B","e00017","B",1,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"299","e00017-C","e00017","C",1,"Salmonidae","family",NA,NA,NA,NA,NA
"300","e00289-A","e00289","A",1,"Pholis","genus","2021_SYLB_A_1","Sylburn harbor eel","1","6/8/21","11/18/21"
"301","e00289-A","e00289","A",1110,"Oncorhynchus","genus","2021_SYLB_A_1","Sylburn harbor eel","1","6/8/21","11/18/21"
"302","e00289-B","e00289","B",87,"Salmonidae","family","2021_SYLB_A_1","Sylburn harbor eel","1","6/8/21","11/18/21"
"303","e00289-B","e00289","B",2328,"Cymatogaster_aggregata","species","2021_SYLB_A_1","Sylburn harbor eel","1","6/8/21","11/18/21"
"304","e00289-B","e00289","B",870,"Oncorhynchus","genus","2021_SYLB_A_1","Sylburn harbor eel","1","6/8/21","11/18/21"
"305","e00289-C","e00289","C",1,"Clupeidae","family","2021_SYLB_A_1","Sylburn harbor eel","1","6/8/21","11/18/21"
