"","bay_year","bay_year2","type","habitat","place_name","date","latitude","longitude"
"56","2022_GUKT_A_2","GUKT_A_2022","edna","eelgrass","Guktu Bay",2022-07-12,55.739816,-133.312022
"57","2022_GUKT_A_3","GUKT_A_2022","edna","eelgrass","Guktu Bay",2022-07-12,55.739816,-133.312022
"58","2022_HALI_A_1","HALI_A_2022","edna","mixed","Halibut Nose",2022-07-26,55.216791,-132.969439
"59","2022_HALI_A_2","HALI_A_2022","edna","mixed","Halibut Nose",2022-07-26,55.216791,-132.969439
"60","2022_HALI_A_3","HALI_A_2022","edna","mixed","Halibut Nose",2022-07-26,55.216791,-132.969439
"61","2022_HARM_A_1","HARM_A_2022","edna","mixed","Harmony island",2022-07-01,55.719394,-133.40571
"62","2022_HARM_A_2","HARM_A_2022","edna","mixed","Harmony island",2022-07-01,55.719394,-133.40571
"63","2022_HARM_A_3","HARM_A_2022","edna","mixed","Harmony island",2022-07-01,55.719394,-133.40571
"64","2022_ILDE_A_1","ILDE_A_2022","edna","mixed","Point Ildefonso",2022-06-26,55.577071,-133.26439
"65","2022_ILDE_A_2","ILDE_A_2022","edna","mixed","Point Ildefonso",2022-06-26,55.577071,-133.26439
"66","2022_ILDE_A_3","ILDE_A_2022","edna","mixed","Point Ildefonso",2022-06-26,55.577071,-133.26439
"67","2022_KARH_A_1","KARH_A_2022","edna","mixed","Karheen",2022-07-27,55.789869,-133.32157
"68","2022_KARH_A_2","KARH_A_2022","edna","mixed","Karheen",2022-07-27,55.789869,-133.32157
"69","2022_KARH_A_3","KARH_A_2022","edna","mixed","Karheen",2022-07-27,55.789869,-133.32157
"70","2022_KLWA_A_1","KLWA_A_2022","edna","eelgrass","Klawock Airport",2022-07-25,55.577767,-133.0941
"71","2022_KLWA_A_2","KLWA_A_2022","edna","eelgrass","Klawock Airport",2022-07-25,55.577767,-133.0941
"72","2022_KLWA_A_3","KLWA_A_2022","edna","eelgrass","Klawock Airport",2022-07-25,55.577767,-133.0941
"73","2022_NATZ_A_1","NATZ_A_2022","edna","eelgrass","Natzuhini Bay",2022-07-15,55.25051,-132.883
"74","2022_NATZ_A_2","NATZ_A_2022","edna","eelgrass","Natzuhini Bay",2022-07-15,55.25051,-132.883
"75","2022_NATZ_A_3","NATZ_A_2022","edna","eelgrass","Natzuhini Bay",2022-07-15,55.25051,-132.883
"76","2022_NFEI_A_1","NFEI_A_2022","edna","eelgrass","North Fish Egg Island",2022-07-17,55.49709,-133.17
"77","2022_NFEI_A_2","NFEI_A_2022","edna","eelgrass","North Fish Egg Island",2022-07-17,55.49709,-133.17
"78","2022_NFEI_A_3","NFEI_A_2022","edna","eelgrass","North Fish Egg Island",2022-07-17,55.49709,-133.17
"79","2022_NOSK_A_1","NOSK_A_2022","edna","eelgrass","Nossuk Bay",2022-07-13,55.7073,-133.342
"80","2022_NOSK_A_2","NOSK_A_2022","edna","eelgrass","Nossuk Bay",2022-07-13,55.7073,-133.342
"81","2022_NOSK_A_3","NOSK_A_2022","edna","eelgrass","Nossuk Bay",2022-07-13,55.7073,-133.342
"82","2022_NSTP_A_1","NSTP_A_2022","edna","mixed","North St. Philips",2022-07-03,55.665754,-133.40493
"83","2022_NSTP_A_2","NSTP_A_2022","edna","mixed","North St. Philips",2022-07-03,55.665754,-133.40493
"84","2022_NSTP_A_3","NSTP_A_2022","edna","mixed","North St. Philips",2022-07-03,55.665754,-133.40493
"85","2022_REFU_A_1","REFU_A_2022","edna","eelgrass","Port Refugio",2022-07-16,55.282137,-133.334028
"86","2022_REFU_A_2","REFU_A_2022","edna","eelgrass","Port Refugio",2022-07-16,55.282137,-133.334028
"87","2022_REFU_A_3","REFU_A_2022","edna","eelgrass","Port Refugio",2022-07-16,55.282137,-133.334028
"88","2022_ROSA_A_1","ROSA_A_2022","edna","eelgrass","Rosary",2022-06-28,55.577046,-133.29498
"89","2022_ROSA_A_2","ROSA_A_2022","edna","eelgrass","Rosary",2022-06-28,55.577046,-133.29498
"90","2022_ROSA_A_3","ROSA_A_2022","edna","eelgrass","Rosary",2022-06-28,55.577046,-133.29498
"91","2022_SARI_A_1","SARI_A_2022","edna","mixed","Santa Rita",2022-06-30,55.418589,-133.45424
"92","2022_SARI_A_2","SARI_A_2022","edna","mixed","Santa Rita",2022-06-30,55.418589,-133.45424
"93","2022_SARI_A_3","SARI_A_2022","edna","mixed","Santa Rita",2022-06-30,55.418589,-133.45424
"94","2022_SFEI_A_1","SFEI_A_2022","edna","mixed","South Fish Egg Island",2022-07-11,55.48442,-133.17549
"95","2022_SFEI_A_2","SFEI_A_2022","edna","mixed","South Fish Egg Island",2022-07-11,55.48442,-133.17549
"96","2022_SFEI_A_3","SFEI_A_2022","edna","mixed","South Fish Egg Island",2022-07-11,55.48442,-133.17549
"97","2022_SHIN_A_1","SHIN_A_2022","edna","eelgrass","Shinaku Inlet",2022-07-14,55.59929,-133.16
"98","2022_SHIN_A_2","SHIN_A_2022","edna","eelgrass","Shinaku Inlet",2022-07-14,55.59929,-133.16
"99","2022_SHIN_A_3","SHIN_A_2022","edna","eelgrass","Shinaku Inlet",2022-07-14,55.59929,-133.16
"100","2022_TRIS_A_1","TRIS_A_2022","edna","eelgrass","Triste pt",2022-06-29,55.418367,-133.49597
"101","2022_TRIS_A_2","TRIS_A_2022","edna","eelgrass","Triste pt",2022-06-29,55.418367,-133.49597
"102","2022_TRIS_A_3","TRIS_A_2022","edna","eelgrass","Triste pt",2022-06-29,55.418367,-133.49597
