"","taxon","taxonomic_level","species","genus","family","order"
"47","Cottus_Leptocottus","genus","Cottus specus","Cottus","Cottidae","Perciformes"
"48","Cryptacanthodes giganteus","species","Cryptacanthodes giganteus","Cryptacanthodes","Cryptacanthodidae","Perciformes"
"49","Cymatogaster aggregata","species","Cymatogaster aggregata","Cymatogaster","Embiotocidae",""
"50","Embiotoca lateralis","species","Embiotoca lateralis","Embiotoca","Embiotocidae",""
"51","Enophrys bison","species","Enophrys bison","Enophrys","Cottidae","Perciformes"
"52","Gadus","genus","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes"
"53","Gadus","genus","Gadus macrocephalus","Gadus","Gadidae","Gadiformes"
"54","Gasterosteus aculeatus","species","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes"
"55","Gobiesox maeandricus","species","Gobiesox maeandricus","Gobiesox","Gobiesocidae","Blenniiformes"
"56","Hemilepidotus hemilepidotus","species","Hemilepidotus hemilepidotus","Hemilepidotus","Cottidae","Perciformes"
"57","Hexagrammos","genus","Hexagrammos lagocephalus","Hexagrammos","Hexagrammidae","Perciformes"
"58","Hexagrammos","genus","Hexagrammos octogrammus","Hexagrammos","Hexagrammidae","Perciformes"
"59","Hexagrammos","genus","Hexagrammos stelleri","Hexagrammos","Hexagrammidae","Perciformes"
"60","Hexagrammos decagrammus","species","Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Perciformes"
"61","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes"
"62","Hypomesus","genus","Hypomesus pretiosus","Hypomesus","Osmeridae","Osmeriformes"
"63","Hypomesus","genus","Hypomesus transpacificus","Hypomesus","Osmeridae","Osmeriformes"
"64","Lepidogobius lepidus","species","Lepidogobius lepidus","Lepidogobius","Gobiidae","Gobiiformes"
"65","Lepidopsetta","genus","Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes"
"66","Lepidopsetta","genus","Lepidopsetta polyxystra","Lepidopsetta","Pleuronectidae","Pleuronectiformes"
"67","Leptocottus armatus","species","Leptocottus armatus","Leptocottus","Cottidae","Perciformes"
"68","Liparis mucosus","species","Liparis mucosus","Liparis","Liparidae","Perciformes"
"69","Lumpenus sagitta","species","Lumpenus sagitta","Lumpenus","Stichaeidae","Perciformes"
"70","Mallotus villosus","species","Mallotus villosus","Mallotus","Salangidae","Osmeriformes"
"71","Microgadus proximus","species","Microgadus proximus","Microgadus","Gadidae","Gadiformes"
"72","Myoxocephalus","genus","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes"
"73","Myoxocephalus","genus","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes"
"74","Myoxocephalus","genus","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes"
"75","Myoxocephalus","genus","Myoxocephalus quadricornis","Myoxocephalus","Cottidae","Perciformes"
"76","Myoxocephalus","genus","Myoxocephalus scorpius","Myoxocephalus","Cottidae","Perciformes"
"77","Myoxocephalus","genus","Myoxocephalus thompsonii","Myoxocephalus","Cottidae","Perciformes"
"78","Nautichthys oculofasciatus","species","Nautichthys oculofasciatus","Nautichthys","Agonidae","Perciformes"
"79","Oligocottus maculosus","species","Oligocottus maculosus","Oligocottus","Cottidae","Perciformes"
"80","Oligocottus snyderi","species","Oligocottus snyderi","Oligocottus","Cottidae","Perciformes"
"81","Oncorhynchus","genus","Oncorhynchus mykiss","Oncorhynchus","Salmonidae","Salmoniformes"
"82","Oncorhynchus","genus","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes"
"83","Oncorhynchus","genus","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes"
"84","Oncorhynchus","genus","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes"
"85","Oncorhynchus","genus","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes"
"86","Oncorhynchus clarkii","species","Oncorhynchus clarkii","Oncorhynchus","Salmonidae","Salmoniformes"
"87","Oncorhynchus gorbuscha","species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes"
"88","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes"
"89","Oncorhynchus kisutch","species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes"
"90","Oncorhynchus mykiss","species","Oncorhynchus mykiss","Oncorhynchus","Salmonidae","Salmoniformes"
"91","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes"
"92","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes"
"93","Ophiodon elongatus","species","Ophiodon elongatus","Ophiodon","Hexagrammidae","Perciformes"
"94","Oxylebius pictus","species","Oxylebius pictus","Oxylebius","Hexagrammidae","Perciformes"
"95","Pholis laeta","species","Pholis laeta","Pholis","Pholidae","Perciformes"
"96","Phytichthys chirus","species","Phytichthys chirus","Phytichthys","Stichaeidae","Perciformes"
"97","Pleuronectidae 1","family","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes"
"98","Pleuronectidae 1","family","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes"
"99","Pleuronectidae 1","family","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes"
"100","Pleuronectidae 2","family","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes"
"101","Pleuronectidae 2","family","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes"
"102","Pleuronectidae 2","family","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes"
"103","Pleuronectidae 3","family","Liopsetta glacialis","Liopsetta","Pleuronectidae","Pleuronectiformes"
"104","Pleuronectidae 3","family","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes"
"105","Pleuronichthys coenosus","species","Pleuronichthys coenosus","Pleuronichthys","Pleuronectidae","Pleuronectiformes"
"106","Podothecus accipenserinus","species","Podothecus accipenserinus","Podothecus","Agonidae","Perciformes"
"107","Rhamphocottus richardsonii","species","Rhamphocottus richardsonii","Rhamphocottus","Rhamphocottidae","Perciformes"
"108","Rhinogobiops nicholsii","species","Rhinogobiops nicholsii","Rhinogobiops","Gobiidae","Gobiiformes"
"109","Ronquilus jordani","species","Ronquilus jordani","Ronquilus","Bathymasteridae","Perciformes"
"110","Salvelinus","genus","Salvelinus alpinus","Salvelinus","Salmonidae","Salmoniformes"
"111","Salvelinus","genus","Salvelinus malma","Salvelinus","Salmonidae","Salmoniformes"
"112","Salvelinus","genus","Salvelinus confluentus","Salvelinus","Salmonidae","Salmoniformes"
"113","Scorpaenichthys marmoratus","species","Scorpaenichthys marmoratus","Scorpaenichthys","Cottidae","Perciformes"
"114","Sebastes 1","genus","Sebastes caurinus","Sebastes","Sebastidae","Perciformes"
"115","Sebastes 1","genus","Sebastes maliger","Sebastes","Sebastidae","Perciformes"
"116","Sebastes 2","genus","Sebastes auriculatus","Sebastes","Sebastidae","Perciformes"
"117","Sebastes 2","genus","Sebastes rastrelliger","Sebastes","Sebastidae","Perciformes"
"118","Sebastes 3","genus","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes"
"119","Sebastes 3","genus","Sebastes alutus","Sebastes","Sebastidae","Perciformes"
"120","Sebastes 3","genus","Sebastes babcocki","Sebastes","Sebastidae","Perciformes"
"121","Sebastes 3","genus","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes"
"122","Sebastes 3","genus","Sebastes elongatus","Sebastes","Sebastidae","Perciformes"
"123","Sebastes 3","genus","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes"
"124","Sebastes 3","genus","Sebastes flavidus","Sebastes","Sebastidae","Perciformes"
"125","Sebastes 3","genus","Sebastes goodei","Sebastes","Sebastidae","Perciformes"
"126","Sebastes 3","genus","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes"
"127","Sebastes 3","genus","Sebastes melanops","Sebastes","Sebastidae","Perciformes"
"128","Sebastes 3","genus","Sebastes melanostictus","Sebastes","Sebastidae","Perciformes"
"129","Sebastes 3","genus","Sebastes miniatus","Sebastes","Sebastidae","Perciformes"
"130","Sebastes 3","genus","Sebastes pinniger","Sebastes","Sebastidae","Perciformes"
"131","Sebastes 3","genus","Sebastes proriger","Sebastes","Sebastidae","Perciformes"
"132","Sebastes 3","genus","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes"
"133","Sebastes 3","genus","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes"
"134","Sebastes 3","genus","Sebastes variegatus","Sebastes","Sebastidae","Perciformes"
"135","Sebastes 3","genus","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes"
"136","Sebastes 3","genus","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes"
"137","Sebastes 3","genus","Sebastes nigrocinctus","Sebastes","Sebastidae","Perciformes"
"138","Sebastes 3","genus","Sebastes melanostomus","Sebastes","Sebastidae","Perciformes"
"139","Sebastes 3","genus","Sebastes paucispinis","Sebastes","Sebastidae","Perciformes"
"140","Sebastes 3","species","Sebastes entomelas","Sebastes","Sebastidae","Perciformes"
"141","Sebastes 3","species","Sebastes nigrocinctus","Sebastes","Sebastidae","Perciformes"
"142","Sebastolobus","genus","Sebastolobus alascanus","Sebastolobus","Sebastidae","Perciformes"
"143","Sebastolobus","genus","Sebastolobus altivelis","Sebastolobus","Sebastidae","Perciformes"
"144","Sebastolobus","genus","Sebastolobus macrochir","Sebastolobus","Sebastidae","Perciformes"
"145","Stichaeidae","family","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes"
"146","Stichaeidae","family","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes"
"147","Stichaeus punctatus","species","Stichaeus punctatus","Stichaeus","Stichaeidae","Perciformes"
"148","Synchirus gilli","species","Synchirus gilli","Synchirus","Cottidae","Perciformes"
"149","Syngnathus leptorhynchus","species","Syngnathus leptorhynchus","Syngnathus","Syngnathidae","Syngnathiformes"
"150","Xiphister","genus","Xiphister atropurpureus","Xiphister","Stichaeidae","Perciformes"
"151","Xiphister","genus","Xiphister mucosus","Xiphister","Stichaeidae","Perciformes"
"152","Zaprora silenus","species","Zaprora silenus","Zaprora","Zaproridae","Perciformes"
